Date/Time,Open,Close,High,Low,Volume,WAP,Count
2016-02-05 14:30:05,51.96,51.95,51.97,51.93,215,51.95,147
2016-02-05 14:30:10,51.96,51.94,51.98,51.93,201,51.95,172
2016-02-05 14:30:15,51.93,51.86,51.93,51.83,140,51.88,134
2016-02-05 14:30:20,51.86,51.86,51.88,51.84,67,51.86,66
2016-02-05 14:30:25,51.87,51.9,51.9,51.86,70,51.88,60
2016-02-05 14:30:30,51.89,51.89,51.9,51.88,43,51.89,36
2016-02-05 14:30:35,51.9,51.91,51.92,51.89,102,51.91,63
2016-02-05 14:30:40,51.92,51.93,51.94,51.91,75,51.93,48
2016-02-05 14:30:45,51.93,51.88,51.94,51.88,282,51.91,153
2016-02-05 14:30:50,51.88,51.88,51.89,51.88,63,51.88,55
2016-02-05 14:30:55,51.88,51.86,51.88,51.86,41,51.87,32
2016-02-05 14:31:00,51.86,51.91,51.92,51.85,198,51.88,144
2016-02-05 14:31:05,51.91,51.92,51.94,51.88,186,51.93,142
2016-02-05 14:31:10,51.93,51.93,51.97,51.93,192,51.95,124
2016-02-05 14:31:15,51.93,51.92,51.93,51.9,320,51.92,148
2016-02-05 14:31:20,51.92,51.91,51.93,51.89,233,51.91,141
2016-02-05 14:31:25,51.92,51.93,51.93,51.92,118,51.92,90
2016-02-05 14:31:30,51.92,51.92,51.93,51.91,201,51.92,116
2016-02-05 14:31:35,51.92,51.92,51.94,51.92,91,51.93,68
2016-02-05 14:31:40,51.92,51.8,51.93,51.8,645,51.87,409
2016-02-05 14:31:45,51.8,51.79,51.8,51.79,155,51.8,95
2016-02-05 14:31:50,51.79,51.79,51.79,51.78,81,51.78,49
2016-02-05 14:31:55,51.79,51.8,51.83,51.75,259,51.79,175
2016-02-05 14:32:00,51.81,51.81,51.82,51.79,121,51.81,94
2016-02-05 14:32:05,51.81,51.75,51.81,51.75,84,51.78,51
2016-02-05 14:32:10,51.76,51.74,51.77,51.73,115,51.75,84
2016-02-05 14:32:15,51.73,51.74,51.76,51.73,60,51.74,46
2016-02-05 14:32:20,51.73,51.7,51.74,51.7,90,51.71,46
2016-02-05 14:32:25,51.7,51.7,51.71,51.69,96,51.7,45
2016-02-05 14:32:30,51.71,51.69,51.73,51.69,52,51.71,48
2016-02-05 14:32:35,51.69,51.69,51.7,51.68,69,51.69,55
2016-02-05 14:32:40,51.69,51.75,51.75,51.68,62,51.72,52
2016-02-05 14:32:45,51.75,51.72,51.77,51.72,77,51.75,54
2016-02-05 14:32:50,51.72,51.7,51.72,51.69,20,51.71,19
2016-02-05 14:32:55,51.71,51.71,51.72,51.7,39,51.71,29
2016-02-05 14:33:00,51.71,51.72,51.73,51.7,100,51.71,57
2016-02-05 14:33:05,51.73,51.73,51.74,51.73,22,51.73,15
2016-02-05 14:33:10,51.74,51.73,51.76,51.71,114,51.73,85
2016-02-05 14:33:15,51.72,51.7,51.73,51.69,67,51.72,57
2016-02-05 14:33:20,51.7,51.67,51.71,51.67,113,51.69,51
2016-02-05 14:33:25,51.66,51.65,51.66,51.65,21,51.65,18
2016-02-05 14:33:30,51.66,51.63,51.66,51.63,52,51.65,27
2016-02-05 14:33:35,51.64,51.65,51.66,51.64,77,51.65,54
2016-02-05 14:33:40,51.65,51.68,51.68,51.64,183,51.66,100
2016-02-05 14:33:45,51.68,51.72,51.72,51.68,64,51.71,56
2016-02-05 14:33:50,51.72,51.69,51.72,51.68,253,51.7,128
2016-02-05 14:33:55,51.7,51.7,51.71,51.69,159,51.7,127
2016-02-05 14:34:00,51.7,51.7,51.71,51.69,120,51.7,87
2016-02-05 14:34:05,51.69,51.64,51.69,51.64,149,51.67,89
2016-02-05 14:34:10,51.64,51.61,51.65,51.6,73,51.62,52
2016-02-05 14:34:15,51.6,51.61,51.62,51.6,65,51.61,52
2016-02-05 14:34:20,51.6,51.6,51.62,51.59,357,51.6,118
2016-02-05 14:34:25,51.6,51.58,51.6,51.58,116,51.59,67
2016-02-05 14:34:30,51.59,51.59,51.59,51.57,62,51.59,31
2016-02-05 14:34:35,51.6,51.59,51.6,51.59,125,51.6,88
2016-02-05 14:34:40,51.59,51.55,51.59,51.55,32,51.57,28
2016-02-05 14:34:45,51.56,51.55,51.57,51.54,322,51.56,128
2016-02-05 14:34:50,51.55,51.57,51.57,51.54,46,51.55,42
2016-02-05 14:34:55,51.57,51.6,51.6,51.56,112,51.59,61
2016-02-05 14:35:00,51.6,51.6,51.6,51.59,19,51.6,18
2016-02-05 14:35:05,51.59,51.58,51.6,51.58,175,51.59,107
2016-02-05 14:35:10,51.59,51.55,51.59,51.55,133,51.58,98
2016-02-05 14:35:15,51.55,51.55,51.56,51.54,78,51.54,65
