Date/Time,Open,Close,High,Low,Volume,WAP,Count
2016-02-05 14:30:05,528.43,526.63,528.44,526,73,526.92,58
2016-02-05 14:30:10,526.33,526.02,528.23,525.9,36,526.76,22
2016-02-05 14:30:15,525.92,526.25,526.89,525.88,27,526.24,26
2016-02-05 14:30:20,526.94,525.88,526.94,525.88,16,526.39,11
2016-02-05 14:30:25,525.92,525.88,527.07,525.88,13,526.08,13
2016-02-05 14:30:30,525.89,525.9,526.52,525.75,83,526.01,30
2016-02-05 14:30:35,526.01,526.68,526.9,525.89,18,526.34,13
2016-02-05 14:30:40,526.33,526.57,526.68,525.9,56,526.3,46
2016-02-05 14:30:45,526,525.02,526.56,525.02,37,525.62,29
2016-02-05 14:30:50,525.74,524.02,525.74,524.02,60,524.95,38
2016-02-05 14:30:55,524.77,524.18,524.93,524.02,26,524.44,20
2016-02-05 14:31:00,524.75,525,525.26,524.04,39,524.91,37
2016-02-05 14:31:05,524.98,524.41,525.65,524.34,33,524.97,20
2016-02-05 14:31:10,525.02,524.74,525.54,524.41,31,525.07,20
2016-02-05 14:31:15,525.17,524.52,525.24,524.52,16,524.73,12
2016-02-05 14:31:20,525,525.67,525.67,524.53,78,525.06,50
2016-02-05 14:31:25,525.44,525.57,525.57,525.4,5,525.51,3
2016-02-05 14:31:30,525.35,525.63,526.14,525.06,37,525.58,32
2016-02-05 14:31:35,525.79,525.52,526.11,525.52,16,525.87,16
2016-02-05 14:31:40,526.34,526.25,526.34,525.9,5,526.16,5
2016-02-05 14:31:45,525.93,525.52,526,525.52,24,525.63,17
2016-02-05 14:31:50,526.03,524.81,526.03,524.4,180,524.99,89
2016-02-05 14:31:55,524.8,525.07,525.37,524.8,13,525.2,10
2016-02-05 14:32:00,524.88,525.32,525.33,524.77,7,524.91,7
2016-02-05 14:32:05,524.83,524.5,525.37,524.4,14,524.74,11
2016-02-05 14:32:10,524.39,524.8,524.81,524.39,12,524.73,3
2016-02-05 14:32:15,524.39,524.55,524.78,524.39,34,524.59,27
2016-02-05 14:32:20,524.79,524.76,524.81,524.76,4,524.79,4
2016-02-05 14:32:25,524.74,524.74,524.74,524.74,1,524.74,1
2016-02-05 14:32:30,524.9,524.5,524.9,524.05,23,524.37,14
2016-02-05 14:32:35,524.49,524.49,524.49,524.49,0,524.49,0
2016-02-05 14:32:40,525.05,525.28,525.28,524.78,29,525.11,23
2016-02-05 14:32:45,524.42,525.03,525.39,524.41,24,525.28,10
2016-02-05 14:32:50,525.04,525.1,525.1,525,9,525.03,7
